,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn
2139,MA,127,510,0,1,19,129.7,115,160.8,101,265.0,63,12.2,3,2,0
2140,IL,151,415,1,0,0,198.7,70,209.5,106,281.9,126,12.4,4,0,0
2141,LA,53,415,0,0,0,145.1,116,233.7,82,208.7,95,7.9,5,2,0
2142,MO,15,415,0,0,0,135.2,101,152.5,79,224.8,83,8.4,5,2,0
2143,DC,123,408,0,1,28,124.7,105,250.4,78,216.4,128,7.8,8,1,0
2144,PA,137,415,0,0,0,215.9,76,145.4,118,186.9,129,12.1,4,1,0
2145,TN,106,415,0,0,0,119.2,142,228.4,139,197.9,61,8.4,9,2,0
2146,NJ,88,510,0,0,0,144.3,116,156.4,74,214.7,90,7.8,10,3,0
2147,VA,106,415,0,0,0,235.2,121,220.6,87,236.3,91,11.8,4,1,0
2148,TN,95,510,0,0,0,174.0,57,281.1,118,197.2,94,9.7,2,0,0
2149,NJ,57,510,1,0,0,115.0,65,122.3,96,245.0,75,6.4,1,0,1
2150,WA,184,408,0,0,0,151.7,93,178.5,77,229.1,111,13.1,8,2,0
2151,WI,127,415,0,0,0,218.6,93,149.9,130,204.6,131,9.2,5,2,0
2152,ME,174,415,0,0,0,190.3,98,252.7,70,220.6,97,7.2,9,2,0
2153,CO,92,415,0,0,0,184.7,60,262.0,73,239.5,120,12.3,6,2,1
2154,CO,81,408,0,0,0,115.3,99,224.7,117,152.5,98,18.0,2,1,0
2155,RI,125,408,0,0,0,113.0,108,169.2,107,156.6,61,9.2,5,2,1
2156,CT,119,408,0,0,0,294.2,100,232.5,53,195.0,64,9.0,1,0,1
2157,NC,122,415,0,0,0,215.6,86,167.8,59,207.0,67,6.4,8,3,0
2158,WY,34,408,0,0,0,128.8,80,208.7,93,202.1,103,14.0,7,1,0
2159,OR,138,415,1,1,28,211.2,117,312.5,98,178.0,118,10.7,2,3,1
2160,FL,90,415,0,1,24,71.2,82,181.6,103,186.9,111,12.9,1,1,0
2161,KY,73,408,0,0,0,94.9,121,253.2,83,175.1,86,14.2,2,2,0
2162,SC,19,510,0,0,0,259.4,116,269.7,109,175.3,130,9.5,3,1,1
2163,WA,120,408,0,1,28,215.8,123,285.2,76,192.1,78,6.9,3,1,0
2164,MT,160,415,0,0,0,97.5,113,268.1,69,255.3,62,13.2,4,3,0
2165,PA,141,510,0,0,0,146.5,121,169.9,125,238.8,112,8.2,5,0,0
2166,MA,90,408,0,0,0,157.9,72,234.0,93,210.0,86,12.2,5,2,0
2167,VT,72,415,0,0,0,139.9,117,223.6,96,240.8,93,12.7,4,2,0
2168,MN,117,408,0,1,21,153.2,112,263.3,110,135.0,85,11.9,7,1,0
2169,AR,87,408,0,0,0,185.8,119,192.3,83,200.0,96,6.6,4,1,0
2170,NC,190,408,0,0,0,182.2,101,212.3,95,233.0,123,9.3,4,2,0
2171,TN,120,415,0,0,0,185.7,133,235.1,149,256.4,78,16.9,6,0,0
2172,DC,115,510,0,1,29,222.6,81,190.3,109,201.2,87,11.5,2,1,0
2173,MN,61,415,0,0,0,197.3,67,264.5,106,210.5,116,9.0,6,1,0
2174,IA,143,510,0,1,33,141.4,130,186.4,114,210.0,111,7.7,6,1,0
2175,KS,110,510,0,0,0,208.0,69,95.1,94,178.5,129,8.0,11,1,0
2176,ND,104,415,0,0,0,118.5,92,177.8,109,255.7,98,12.1,4,1,0
2177,MT,16,510,0,0,0,153.2,65,229.7,90,148.2,94,10.7,8,1,0
2178,IL,183,510,0,0,0,108.3,87,183.6,116,176.6,109,13.5,2,0,0
2179,KY,58,415,0,0,0,247.2,116,303.7,103,105.4,94,9.3,2,2,1
2180,MS,102,510,1,0,0,224.2,81,243.3,90,147.8,66,12.0,8,3,0
2181,IA,64,415,0,1,43,118.4,100,144.1,108,158.1,91,8.5,6,1,0
2182,AK,103,510,0,0,0,190.9,62,226.6,53,230.1,96,7.8,3,2,0
2183,MN,152,415,0,0,0,317.8,60,152.9,100,123.4,63,10.4,7,1,1
2184,WV,124,415,0,0,0,312.0,112,180.0,109,168.6,94,12.8,4,1,1
2185,MS,131,415,0,0,0,131.6,95,179.3,109,251.2,129,15.5,3,1,1
2186,ME,57,415,0,1,33,193.4,105,231.6,79,226.2,90,11.1,11,2,0
2187,MN,157,510,0,0,0,185.1,92,213.0,85,196.1,85,8.5,5,2,0
2188,GA,194,510,0,0,0,193.3,106,169.0,150,225.2,122,11.8,4,0,0
2189,DC,66,415,0,0,0,146.4,107,196.5,99,230.1,106,7.8,2,1,0
2190,GA,155,510,0,0,0,71.2,90,304.4,119,183.3,103,8.6,4,0,0
2191,OK,116,510,0,0,0,205.0,90,140.9,114,272.6,96,7.5,4,2,0
2192,GA,64,510,0,0,0,216.9,78,211.0,115,179.8,116,11.4,5,3,0
2193,NJ,96,510,0,0,0,150.0,122,218.5,116,212.4,89,9.8,1,3,0
2194,MN,53,415,0,0,0,164.1,106,206.0,56,194.7,124,11.4,2,1,0
2195,ME,105,510,0,0,0,212.0,113,226.6,128,193.6,114,8.9,7,3,0
2196,MI,53,510,0,1,37,167.3,99,194.7,99,236.7,112,12.0,9,2,0
2197,MT,101,415,0,0,0,154.4,130,217.2,101,185.4,52,13.9,4,1,0
2198,NE,129,510,0,1,30,177.3,95,211.8,102,240.2,108,9.3,7,3,0
2199,ND,122,408,0,0,0,231.2,141,267.8,136,240.3,100,8.8,5,1,1
2200,VA,163,415,0,0,0,202.9,100,178.6,46,203.8,116,12.8,3,5,0
2201,VT,93,408,0,0,0,149.6,120,200.7,85,181.2,107,14.3,9,0,0
2202,OH,115,510,1,0,0,345.3,81,203.4,106,217.5,107,11.8,8,1,1
2203,AL,25,408,0,0,0,264.9,80,281.2,66,166.1,80,8.4,4,1,1
2204,DC,73,408,0,0,0,122.0,92,138.3,114,224.2,128,5.8,5,1,0
2205,ND,120,415,0,0,0,177.2,88,270.4,99,231.5,90,14.0,2,2,0
2206,TN,196,415,0,0,0,133.1,80,206.5,120,221.6,96,10.3,8,1,0
2207,DE,97,510,0,0,0,225.1,90,279.5,127,233.8,103,8.8,4,0,1
2208,NY,148,408,0,0,0,208.4,120,174.4,99,310.7,105,11.2,4,1,0
2209,AL,85,408,0,1,30,173.1,107,247.2,101,158.7,104,11.5,5,1,0
2210,OK,86,510,1,0,0,162.4,131,167.0,102,128.9,118,11.4,2,2,1
2211,NE,147,415,0,1,38,243.4,126,273.8,109,282.9,91,14.1,8,2,0
2212,IL,91,415,0,0,0,189.3,100,239.3,107,89.7,89,9.9,3,3,0
2213,IN,81,408,0,1,46,168.3,124,270.9,103,222.5,98,6.7,2,4,0
2214,UT,116,415,0,1,24,232.9,90,152.1,94,344.3,82,10.7,6,1,0
2215,LA,69,415,0,1,37,155.0,98,142.4,105,143.7,117,5.9,4,1,0
2216,ID,135,510,0,0,0,154.4,130,203.8,90,158.7,59,11.8,3,0,0
2217,KY,73,510,0,0,0,234.7,102,195.7,110,253.4,71,8.4,8,2,0
2218,NH,125,415,1,0,0,298.4,78,270.5,142,107.3,84,12.2,2,0,1
2219,OR,165,415,0,1,33,111.6,140,213.3,111,267.6,115,16.0,3,0,0
2220,SD,64,415,0,0,0,174.5,98,180.2,103,179.0,89,10.7,2,2,0
2221,MD,116,510,1,1,27,175.5,137,210.6,60,294.8,121,6.9,5,1,0
2222,MO,84,415,0,1,35,207.5,138,201.0,116,164.5,107,7.5,16,4,0
2223,UT,134,415,0,0,0,258.8,85,129.5,114,193.6,106,10.9,7,2,0
2224,MI,105,415,0,0,0,226.9,106,182.2,77,203.9,107,11.6,2,0,1
2225,AR,88,408,0,0,0,152.9,119,171.2,107,257.0,106,12.0,5,2,0
2226,TX,90,408,0,1,27,156.7,51,236.5,118,123.2,111,12.6,6,2,0
2227,AK,86,408,0,0,0,150.8,85,295.9,88,247.2,104,12.5,1,1,0
2228,TN,37,415,0,0,0,221.0,126,204.5,110,118.0,98,6.8,3,4,0
2229,NM,148,408,0,0,0,153.6,148,262.1,87,225.5,99,9.8,3,2,0
2230,RI,63,415,0,0,0,180.5,126,230.0,98,232.5,73,10.6,3,0,0
2231,AL,102,415,0,0,0,123.1,106,182.0,102,244.6,75,12.6,7,2,0
2232,NC,76,510,0,0,0,165.7,94,257.4,80,170.8,114,10.0,4,1,0
2233,SD,104,408,0,0,0,200.2,92,118.7,87,236.6,65,6.0,6,2,0
2234,MT,109,510,0,0,0,154.8,82,287.7,109,208.4,80,5.9,9,3,0
2235,HI,105,510,0,0,0,125.4,116,261.5,95,241.6,104,11.4,9,2,0
2236,MT,63,415,0,1,33,184.2,111,312.6,89,264.0,55,12.2,4,1,0
2237,KY,105,415,0,1,24,274.7,99,193.5,118,299.6,109,10.8,3,3,0
2238,DC,68,415,1,1,39,142.0,140,241.6,89,302.0,72,11.3,5,1,0
2239,CO,63,408,1,1,21,151.5,99,147.8,89,210.4,114,10.0,4,1,0
2240,MI,74,415,0,0,0,124.8,114,133.0,121,160.3,85,10.6,7,3,0
2241,NC,101,415,0,0,0,232.7,114,186.4,123,153.3,122,11.5,6,5,0
2242,SC,116,408,0,0,0,288.0,120,255.8,90,233.4,99,13.4,4,0,1
2243,CO,131,415,0,1,23,170.8,145,236.7,93,294.5,100,12.7,1,1,0
2244,MN,84,415,0,0,0,216.1,114,197.5,107,217.8,104,9.8,3,1,0
2245,WY,104,415,0,0,0,138.7,100,215.4,58,164.3,98,4.9,4,2,0
2246,FL,108,510,0,0,0,210.7,112,238.7,73,253.6,90,9.2,5,3,0
2247,NY,111,415,0,0,0,181.8,117,158.1,91,266.2,123,9.7,9,0,0
2248,OK,155,408,0,1,30,61.6,103,255.1,110,225.9,96,12.4,5,1,0
2249,ME,66,510,0,0,0,207.7,85,196.7,112,261.7,83,6.8,3,1,0
2250,NE,64,510,0,0,0,219.2,73,167.0,65,161.4,119,10.0,5,1,0
2251,CT,116,415,0,0,0,245.9,73,240.1,87,158.7,89,8.9,5,3,0
2252,DC,101,415,0,0,0,257.3,84,184.8,115,108.9,109,13.5,7,0,0
2253,OK,15,415,0,0,0,121.1,130,216.0,86,235.1,33,16.1,5,2,0
2254,NJ,88,415,0,0,0,301.5,136,257.7,72,132.9,118,13.4,2,4,1
2255,IA,197,415,0,0,0,233.9,96,218.9,111,182.9,109,9.5,3,0,0
2256,VA,50,415,1,0,0,99.6,108,308.7,102,161.2,62,13.7,6,2,1
2257,VA,172,510,0,0,0,169.8,123,183.1,94,395.0,72,12.7,7,2,0
2258,NM,188,415,1,1,26,198.8,115,166.6,67,198.5,118,14.4,3,1,1
2259,FL,85,408,1,0,0,116.2,86,229.7,127,204.2,109,10.1,3,3,0
2260,RI,103,510,1,0,0,255.9,128,140.9,92,308.9,130,12.1,2,1,1
2261,NJ,136,408,0,1,27,187.7,84,221.0,147,145.7,110,10.0,4,3,0
2262,NE,155,408,0,1,21,195.9,91,213.9,84,88.2,111,8.6,4,0,0
2263,WV,145,415,0,0,0,129.4,97,185.4,101,204.7,106,1.1,2,2,0
2264,WY,116,510,0,1,12,221.0,108,151.0,118,179.0,80,9.0,6,2,0
2265,SC,152,408,0,0,0,140.5,92,186.8,96,227.0,89,9.5,5,2,0
2266,MS,65,415,1,0,0,277.9,123,155.8,112,256.9,71,9.2,10,0,1
2267,IL,67,415,0,0,0,109.1,117,217.4,124,188.4,141,12.8,6,0,0
2268,OR,60,415,0,0,0,207.8,109,123.5,112,291.6,115,5.7,9,0,0
2269,UT,138,510,0,0,0,205.9,96,257.1,94,209.0,63,12.1,8,0,0
2270,IA,44,415,0,0,0,308.6,139,150.8,94,198.7,66,7.3,3,4,1
2271,ME,25,510,0,0,0,242.6,69,209.0,117,219.7,82,14.4,6,2,0
2272,WY,145,408,0,0,0,229.6,82,138.1,103,250.8,109,3.3,3,1,0
2273,WI,122,510,0,1,28,166.0,62,233.9,88,170.1,84,7.7,3,2,0
2274,SC,121,415,0,0,0,144.8,126,200.6,82,208.8,81,13.3,9,0,1
2275,DC,55,510,1,0,0,106.1,77,123.5,100,96.4,92,12.9,3,0,0
2276,CT,77,415,0,0,0,221.8,84,166.0,125,210.2,72,13.2,4,1,0
2277,OR,12,415,0,0,0,204.6,98,212.5,90,182.1,95,9.8,7,2,0
2278,NV,92,415,0,1,44,152.0,95,274.9,73,162.4,121,10.0,1,2,0
2279,MN,125,415,1,1,29,260.8,81,163.7,112,271.7,117,17.0,6,1,1
2280,KS,79,415,0,0,0,177.9,83,167.3,84,223.7,142,15.2,8,0,0
2281,RI,36,415,0,0,0,235.1,97,196.8,104,259.7,110,7.0,7,3,0
2282,DC,102,415,0,0,0,186.8,92,173.7,123,250.9,131,9.7,4,2,0
2283,IL,138,408,1,0,0,268.4,81,174.4,115,193.5,96,11.6,4,1,0
2284,UT,164,510,0,0,0,192.1,95,249.8,94,132.6,100,7.3,3,3,0
2285,MN,125,415,0,0,0,240.7,82,269.4,85,187.1,74,10.1,3,0,1
2286,WI,72,408,0,0,0,179.9,113,149.8,112,168.2,79,9.8,7,2,0
2287,MA,145,415,0,0,0,175.8,89,274.3,119,226.6,69,12.4,4,1,0
2288,AL,136,510,0,0,0,109.4,91,207.5,111,135.0,107,11.6,5,0,0
2289,SC,209,510,0,0,0,255.1,124,230.6,110,218.0,69,8.5,5,3,1
2290,WI,66,415,1,0,0,208.7,84,173.3,88,264.7,107,8.3,3,3,0
2291,VT,152,510,0,1,20,214.6,108,96.6,82,170.7,145,7.9,5,1,0
2292,CT,162,408,0,0,0,49.2,121,143.9,136,203.0,97,12.1,13,1,0
2293,OR,72,510,0,0,0,141.3,133,134.9,96,227.5,97,11.2,3,2,0
2294,HI,101,415,0,0,0,253.2,89,237.9,114,154.3,85,9.7,7,4,0
2295,WV,125,415,0,0,0,206.0,128,198.1,71,135.9,116,13.2,3,0,0
2296,ME,193,415,0,1,31,71.2,58,124.7,105,155.5,108,11.7,3,0,0
2297,WV,63,510,0,0,0,261.8,69,245.0,135,202.1,94,14.7,4,0,1
2298,NE,124,510,0,0,0,191.3,134,261.5,113,182.3,111,10.0,3,1,0
2299,DC,144,415,0,0,0,133.3,101,255.5,127,228.6,68,11.6,2,0,0
2300,NH,116,408,0,1,24,183.6,138,203.8,90,166.9,89,6.0,3,2,0
2301,MD,189,415,0,1,30,155.2,116,195.5,50,170.1,108,15.4,6,1,0
2302,NH,97,408,0,1,28,283.1,93,185.4,98,312.8,78,6.1,8,1,0
2303,WV,137,510,0,1,50,186.5,94,178.0,106,215.6,100,12.1,4,2,0
2304,IL,142,415,0,1,38,163.3,104,136.0,114,249.1,127,4.3,6,0,0
2305,OK,84,510,0,0,0,203.4,125,182.9,88,213.7,121,13.8,2,1,0
2306,NH,119,415,0,1,19,178.1,110,212.8,100,226.3,123,10.0,6,1,0
2307,MI,158,415,0,0,0,195.9,103,89.1,95,302.2,82,10.3,3,1,0
2308,HI,101,415,0,1,24,114.1,95,161.5,86,176.3,90,13.0,9,2,0
2309,NJ,182,415,0,0,0,279.1,124,180.5,108,217.5,104,9.5,11,2,1
2310,WV,51,408,0,0,0,169.3,111,139.5,69,197.0,87,12.0,3,0,0
2311,NC,117,510,0,0,0,214.4,94,138.0,149,148.7,102,9.9,1,2,0
2312,PA,92,415,1,0,0,255.8,125,142.7,111,181.2,101,11.7,3,0,0
2313,MI,86,408,0,0,0,148.2,71,285.1,91,166.4,155,6.2,3,2,0
2314,WY,122,415,0,0,0,119.3,93,223.9,103,211.9,122,8.7,4,2,0
2315,NJ,127,510,0,0,0,245.2,91,217.2,92,243.1,128,13.9,6,0,1
2316,NM,158,408,0,0,0,172.4,114,256.6,69,235.3,104,0.0,0,2,0
2317,MS,145,510,1,1,30,175.3,107,153.3,116,233.6,85,11.1,3,1,0
2318,OK,127,510,0,1,27,2.6,113,254.0,102,242.7,156,9.2,5,3,0
2319,ID,109,415,0,0,0,184.1,143,211.7,105,243.0,116,9.9,2,1,0
2320,AL,88,415,0,0,0,181.9,90,151.5,87,143.0,100,7.5,3,1,0
2321,HI,171,510,0,0,0,189.8,122,173.7,85,257.1,84,10.3,1,0,0
2322,VA,21,415,0,0,0,223.2,142,216.5,114,214.7,111,12.4,2,1,0
2323,WV,145,408,0,1,31,216.0,94,225.1,123,234.7,109,10.7,1,2,0
2324,DE,90,415,0,0,0,198.5,124,266.6,100,243.3,80,8.0,7,2,0
2325,CA,33,408,0,0,0,159.5,115,195.4,118,102.4,86,7.1,7,1,0
2326,PA,61,408,0,1,40,105.0,78,180.6,100,174.1,115,10.2,2,2,1
2327,CO,107,415,0,0,0,204.5,108,162.4,110,155.0,102,13.4,1,3,0
2328,MD,147,408,0,0,0,274.0,92,231.8,82,283.6,83,6.2,1,0,1
2329,KS,186,510,0,0,0,137.8,97,187.7,118,146.4,85,8.7,6,1,0
2330,MI,128,415,0,0,0,179.4,94,270.4,92,191.0,88,7.9,4,0,0
2331,AK,55,408,0,1,39,139.3,101,178.3,117,246.5,104,8.1,1,3,0
2332,OH,134,415,0,0,0,7.8,86,171.4,100,186.5,80,12.9,2,2,0
2333,IN,96,415,0,1,23,183.1,88,147.4,89,350.2,108,11.3,7,1,0
2334,KS,123,415,0,0,0,140.0,106,153.7,101,50.1,87,12.5,1,2,0
2335,OK,35,415,0,0,0,179.2,59,283.3,101,285.4,83,5.8,7,2,0
2336,WI,74,408,0,0,0,177.4,136,240.3,104,237.3,133,12.0,3,0,0
2337,IN,130,408,0,0,0,115.6,129,167.8,104,141.8,124,12.6,9,1,0
2338,IL,137,408,1,0,0,237.3,103,176.7,84,263.4,81,14.2,4,0,1
2339,DC,80,408,0,0,0,51.5,90,164.0,98,169.4,80,9.5,4,3,0
2340,NC,116,408,0,1,19,155.7,104,185.4,118,192.7,116,8.2,2,3,0
2341,RI,123,510,0,1,23,245.0,88,265.0,105,239.7,108,14.9,3,2,0
2342,VA,146,415,1,0,0,111.1,126,313.4,95,215.7,82,10.5,6,1,0
2343,NV,121,408,0,1,44,116.0,85,150.1,120,246.8,98,12.0,2,1,0
2344,WI,137,510,0,0,0,155.5,81,133.1,94,253.1,77,9.1,2,1,0
2345,NE,67,510,0,1,31,175.2,68,199.2,73,219.8,99,13.2,6,1,0
2346,WI,161,408,0,0,0,154.7,84,177.8,125,172.9,90,5.9,2,4,1
2347,NJ,134,510,0,1,34,247.2,105,225.5,133,186.3,76,6.1,5,2,1
2348,WY,120,415,0,1,24,227.5,81,234.9,71,166.4,128,9.0,13,1,0
2349,IN,130,408,0,1,30,185.0,117,249.5,141,157.8,103,7.4,7,0,0
2350,VT,68,415,0,0,0,158.8,119,211.8,105,198.1,101,10.3,3,1,0
2351,IN,77,408,0,0,0,185.9,95,212.0,98,282.3,81,11.3,4,3,0
2352,SC,109,415,0,0,0,222.5,74,169.7,75,264.3,94,9.0,3,2,0
2353,IN,108,415,0,0,0,201.1,101,170.7,86,237.4,113,11.6,3,3,0
2354,IA,79,415,0,1,17,167.9,114,243.7,93,211.9,114,9.1,2,1,0
2355,MD,119,408,0,0,0,239.1,88,243.5,79,230.9,92,10.9,3,3,1
2356,MN,38,510,0,0,0,175.7,109,211.8,97,137.9,109,9.2,3,5,1
2357,AR,109,415,0,1,29,111.2,90,263.5,98,224.7,128,9.0,6,6,1
2358,MS,78,415,0,0,0,87.7,74,214.8,58,201.3,147,10.8,6,1,0
2359,MN,134,415,0,0,0,244.1,99,246.9,111,200.0,133,7.2,2,0,0
2360,WA,47,415,0,1,27,165.0,89,127.3,118,284.4,95,7.7,4,2,0
2361,MS,59,408,0,1,27,127.4,110,103.3,99,164.2,73,9.1,3,0,0
2362,ID,151,415,0,0,0,194.8,106,292.7,103,224.6,82,5.5,3,0,0
2363,NC,129,415,0,0,0,54.7,131,256.1,105,176.6,135,11.1,4,1,0
2364,MI,76,510,0,0,0,90.5,142,211.7,75,194.9,76,9.3,2,1,0
2365,HI,24,415,0,0,0,235.6,132,115.9,129,185.4,136,16.2,2,0,0
2366,NC,169,408,0,0,0,142.5,82,231.4,110,131.2,67,10.0,4,2,0
2367,MN,30,408,0,0,0,54.0,68,179.3,96,247.2,101,10.2,8,1,0
2368,WV,70,415,0,0,0,214.8,87,131.0,114,216.9,104,9.4,3,3,0
2369,SD,52,510,1,0,0,251.4,118,196.6,80,192.0,53,11.0,2,0,1
2370,HI,3,408,0,0,0,139.0,99,250.7,108,286.2,87,6.1,3,4,0
2371,MS,38,415,0,0,0,117.3,114,208.7,105,203.4,98,14.4,2,2,0
2372,NY,104,415,0,0,0,264.0,108,132.2,75,177.7,91,10.6,8,3,0
2373,LA,27,408,0,0,0,82.6,105,204.0,99,224.2,122,9.1,4,1,0
2374,KS,166,415,1,1,28,175.8,126,253.6,76,128.5,72,11.4,5,1,0
2375,MA,13,408,0,0,0,220.4,100,211.2,79,259.3,112,13.6,8,2,0
2376,AK,52,408,0,0,0,217.0,104,152.3,83,134.3,109,11.8,4,2,0
2377,SD,114,415,0,1,25,129.0,77,290.0,110,177.1,110,11.6,5,1,0
2378,CO,156,408,0,0,0,150.5,106,152.9,112,215.9,86,3.5,3,1,0
2379,WV,62,415,0,0,0,189.5,122,103.8,95,180.6,106,10.8,5,2,0
2380,AZ,82,415,0,1,33,137.8,95,235.5,128,268.1,70,11.0,6,2,0
2381,ME,52,510,0,0,0,129.3,80,142.7,101,258.3,89,12.3,4,3,0
2382,NH,146,510,0,0,0,115.6,77,213.6,100,218.4,72,10.7,6,1,0
2383,RI,120,415,0,1,23,221.9,114,254.7,84,250.5,117,7.2,5,2,0
2384,ID,130,415,0,0,0,263.7,113,186.5,103,195.3,99,18.3,6,1,1
2385,WI,90,408,0,0,0,61.3,91,194.4,94,143.1,80,11.4,9,1,0
2386,NM,147,408,1,0,0,183.8,113,164.7,110,111.0,87,10.1,4,1,0
2387,WY,159,415,0,0,0,167.4,68,143.8,74,140.1,111,10.3,3,0,1
2388,IL,74,510,0,1,27,154.1,122,195.3,150,276.7,86,13.2,2,4,0
2389,TX,130,408,0,0,0,252.0,101,170.2,105,209.2,64,5.7,5,0,0
2390,RI,155,408,1,0,0,163.1,94,291.7,108,96.4,111,11.2,3,0,0
2391,MI,87,415,0,0,0,198.3,80,187.0,89,133.5,96,16.6,4,2,0
2392,OR,81,415,0,0,0,324.7,48,236.4,82,187.6,78,13.1,5,0,1
2393,VA,99,510,0,0,0,128.3,78,215.3,120,143.7,140,14.3,9,2,0
2394,SD,131,510,0,0,0,187.9,110,200.5,101,202.6,125,10.2,11,2,0
2395,AL,89,510,0,0,0,129.2,71,214.1,68,214.9,100,10.3,4,5,1
2396,MS,123,415,1,0,0,125.5,106,128.9,96,251.9,129,6.3,6,4,1
2397,MS,130,510,0,1,26,257.2,108,224.3,122,204.0,118,12.6,4,1,0
2398,HI,99,415,0,0,0,124.6,90,146.4,70,169.4,95,10.5,6,1,0
2399,WV,36,408,0,0,0,175.1,144,216.9,69,243.7,146,9.9,3,1,0
2400,WV,87,415,0,0,0,124.3,91,173.4,105,256.3,109,7.5,5,3,0
2401,WV,139,415,0,0,0,271.6,130,156.0,131,136.3,108,11.6,9,2,0
2402,NM,96,415,0,1,33,183.3,115,201.4,87,177.4,84,10.4,15,3,0
2403,DE,112,408,0,0,0,101.1,119,214.4,67,179.5,112,10.3,5,2,0
2404,NC,75,408,0,0,0,203.3,70,228.9,97,222.2,118,14.3,3,1,0
2405,NM,178,415,0,1,35,175.4,88,190.0,65,138.7,94,10.5,3,2,0
2406,SC,112,415,0,0,0,266.0,97,214.6,94,306.2,100,14.2,2,2,1
2407,NJ,108,415,0,1,41,171.6,110,136.1,78,183.4,103,10.8,7,0,0
2408,AZ,100,510,0,0,0,78.7,98,225.6,102,150.4,106,14.0,8,0,0
2409,RI,121,510,0,1,20,211.9,110,215.1,120,238.5,107,9.4,2,0,0
2410,SD,116,415,0,0,0,63.7,101,195.8,95,210.1,87,10.0,6,1,0
2411,NH,161,415,0,0,0,173.4,100,213.7,74,141.5,69,11.5,4,1,0
2412,WV,104,415,0,0,0,225.9,123,162.8,106,272.1,85,10.1,4,1,0
2413,ID,119,415,1,1,32,173.0,101,209.4,93,231.1,91,12.2,4,0,0
2414,MD,125,415,0,0,0,224.9,102,143.8,87,198.9,105,8.0,2,0,0
2415,WY,109,415,0,0,0,137.0,128,217.0,116,182.1,86,10.0,5,2,0
2416,NH,95,510,0,0,0,142.5,109,176.1,107,189.6,88,8.2,3,2,0
2417,MN,90,408,0,0,0,142.4,126,126.2,118,274.2,71,4.6,4,1,0
2418,MA,105,415,0,1,21,147.0,112,197.3,43,267.4,93,8.7,3,2,0
2419,MN,95,415,0,0,0,149.2,96,260.7,116,201.0,120,8.1,2,1,0
2420,NY,160,408,0,0,0,216.8,77,207.3,117,228.6,117,5.6,2,1,0
2421,AL,141,510,0,1,28,308.0,123,247.8,128,152.9,103,7.4,3,1,0
2422,WV,87,415,0,0,0,58.0,125,67.5,116,185.9,136,11.5,3,0,0
2423,NM,81,415,0,0,0,173.2,80,236.2,94,240.2,84,11.8,6,2,0
2424,CA,75,415,0,1,19,210.3,90,241.8,87,215.7,102,13.1,3,4,0
2425,MA,126,408,0,1,24,58.9,125,305.5,90,158.9,73,12.1,6,0,0
2426,ME,28,415,0,0,0,236.8,102,167.1,87,280.2,115,9.7,3,3,0
2427,FL,153,415,0,0,0,228.9,102,160.7,136,203.1,109,12.5,2,0,0
2428,MA,17,415,1,0,0,162.8,118,229.6,91,332.7,94,13.6,3,0,1
2429,TX,121,415,0,0,0,86.1,100,259.8,113,148.0,79,9.1,9,2,0
2430,NC,125,408,0,0,0,212.3,89,215.4,127,186.8,73,11.3,2,2,0
2431,CT,124,415,0,0,0,151.0,98,120.6,119,152.8,81,9.2,2,2,0
2432,NJ,35,408,0,0,0,158.6,67,130.4,96,229.8,80,6.9,5,2,0
2433,WY,134,510,0,0,0,296.0,93,226.4,117,246.8,98,12.3,10,0,1
2434,LA,123,510,0,1,32,212.3,77,251.5,78,208.7,85,6.6,2,3,0
2435,NV,124,415,0,0,0,234.4,61,179.3,111,285.5,117,10.4,6,3,0
2436,WV,133,510,0,0,0,176.8,92,187.5,97,196.8,88,6.5,3,2,0
2437,AR,185,415,0,1,19,157.3,123,257.7,94,190.4,107,9.6,6,0,0
2438,KS,107,415,0,0,0,260.5,108,102.4,110,129.7,148,9.8,5,1,0
2439,MI,178,408,1,0,0,124.5,134,141.2,78,268.2,113,11.4,2,2,1
2440,MA,123,415,0,0,0,209.4,49,237.4,117,239.2,98,9.8,11,1,0
2441,UT,170,415,0,0,0,285.7,44,167.5,144,260.0,97,8.7,4,1,1
2442,HI,135,415,0,0,0,190.9,44,161.4,109,231.9,100,8.4,2,1,0
2443,OR,134,415,0,1,50,208.8,130,132.9,104,136.7,107,11.1,4,2,0
2444,TN,148,415,0,1,36,77.6,141,207.0,60,255.7,115,10.9,2,1,0
2445,CT,93,415,0,0,0,271.1,101,237.4,133,145.4,103,8.4,6,1,1
2446,AZ,138,415,0,0,0,240.8,104,144.5,92,125.7,98,11.6,1,0,0
2447,OR,159,510,0,0,0,114.8,98,192.6,101,259.0,108,12.2,5,0,0
2448,DE,103,415,0,1,34,138.8,80,142.0,108,183.8,77,11.8,7,1,0
2449,MA,150,408,0,1,27,209.8,112,155.0,80,251.5,111,7.2,6,0,0
2450,CT,37,408,0,0,0,134.9,98,248.4,130,236.2,113,14.7,2,3,0
2451,AR,33,415,1,0,0,164.0,99,153.1,102,123.8,104,6.4,4,0,0
2452,SD,55,415,0,0,0,245.5,130,192.7,54,141.7,83,9.1,4,1,0
2453,CT,134,408,0,1,32,80.3,94,199.9,124,170.8,117,16.6,3,0,0
